Title,Artist,Year,Genre,Popularity,Formatted_Artist,Formatted_Title
circle the drain,Soccer Mommy,2020,rock,55,soccer_mommy,circle_the_drain
Altüst Olmuşum,Mavi Gri,2020,rock,69,mavi_gri,altust_olmusum
1999,NO CIGAR,2020,rock,54,no_cigar,1999
Чорний Мольфар,Цвях,2020,rock,35,,_
Knee Socks - Live,Arctic Monkeys,2020,rock,41,arctic_monkeys,knee_socks_live
Ісус Із Назарета,Лінія Маннергейма,2020,rock,36,_,_
ないものねだり - Revenge THE FIRST TAKE,KANA-BOON,2020,rock,51,kanaboon,_revenge_the_first_take
ゴールデンタイムラバー - 2020 Remaster,Sukima Switch,2020,rock,52,sukima_switch,_2020_remaster
再会 (produced by Ayase),LiSA,2020,rock,59,lisa,_produced_by_ayase
"Така, як літо",Kozak System,2020,rock,34,kozak_system,_
Монстр,RADIO TAPOK,2020,rock,34,radio_tapok,
決戦スピリット,CHiCO with HoneyWorks,2020,rock,55,chico_with_honeyworks,
Your Girlfriend,Blossoms,2020,rock,57,blossoms,your_girlfriend
Министр культуры,Голос Омерики,2020,rock,34,_,_
Guys,The 1975,2020,rock,52,the_1975,guys
Body Like A Back Road,Sam Hunt,2020,rock,70,sam_hunt,body_like_a_back_road
NAN CHUN,SE SO NEON,2020,rock,55,se_so_neon,nan_chun
Дыхаем зноў,J:МОРС,2020,rock,23,j,_
Sometimes,Kodaline,2020,rock,45,kodaline,sometimes
The Devil Went Down to Georgia,Nickelback,2020,rock,54,nickelback,the_devil_went_down_to_georgia
Ya No Mires Atrás,Luis Alberto Spinetta,2020,rock,51,luis_alberto_spinetta,ya_no_mires_atras
Tonight (I Wish I Was Your Boy),The 1975,2020,rock,53,the_1975,tonight_i_wish_i_was_your_boy
Pure 90 (Rapping Queen),Shaka Ponk,2020,rock,45,shaka_ponk,pure_90_rapping_queen
SPARK-AGAIN,Aimer,2020,rock,51,aimer,sparkagain
Помаленьку,Пирятин,2020,rock,34,,
Ding,Feuerschwanz,2020,rock,46,feuerschwanz,ding
Moments / Tides,Goth Babe,2020,rock,55,goth_babe,moments_tides
Гора,The Hardkiss,2020,rock,32,the_hardkiss,
There Is Still Pain Left - Laolu Remix,Sophie Hunger,2020,rock,46,sophie_hunger,there_is_still_pain_left_laolu_remix
Готика,Vivienne Mort,2020,rock,34,vivienne_mort,
さよならごっこ,amazarashi,2020,rock,47,amazarashi,
Only Children,Jason Isbell and the 400 Unit,2020,rock,49,jason_isbell_and_the_400_unit,only_children
L'hymne de nos campagnes 2019,Tryo,2020,rock,48,tryo,lhymne_de_nos_campagnes_2019
Left Me Like Summer,Daily J,2020,rock,55,daily_j,left_me_like_summer
Sonne,RADIO TAPOK,2020,rock,33,radio_tapok,sonne
Нас догонит любовь,Pornofilmy,2020,rock,33,pornofilmy,_
Arabella - Live,Arctic Monkeys,2020,rock,40,arctic_monkeys,arabella_live
Окситоцин,Ницо Потворно,2020,rock,34,_,
Владивосток 2000,Mumiy Troll,2020,rock,34,mumiy_troll,_2000
